ticker,cex,symbolToken,scToken,decToken,tickerPair,symbolPair,scPair,decPair,chain,favorite,dex_metax_ctd,dex_metax_dtc,dex_metax_pnl,dex_jumpx_ctd,dex_jumpx_dtc,dex_jumpx_pnl,dex_kyber_ctd,dex_kyber_dtc,dex_kyber_pnl,dex_okx_ctd,dex_okx_dtc,dex_okx_pnl,dex_krystal_ctd,dex_krystal_dtc,dex_krystal_pnl,feeWd_token_usdt,feeWd_pair_usdt,wd_token_ok,dp_pair_ok
"HYPER","binance","HYPERUSDT","0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4","18","USDT","","0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9","6","arbitrum","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.16","0.1","1","1"
"WOO","binance","WOOUSDT","0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b","18","USDT","","0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9","6","arbitrum","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","6.12","0.1","1","1"
"KAITO","binance","KAITOUSDT","0x98d0baa52b2d063e780de12f615f963fe8537553","18","USDC","USDCUSDT","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","6","base","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.54","0.5","1","1"
"KAITO","gate","KAITO_USDT","0x98d0baa52b2d063e780de12f615f963fe8537553","18","USDC","USDC_USDT","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","6","base","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.121","0.0499","1","1"
"VVV","gate","VVV_USDT","0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf","18","USDC","USDC_USDT","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","6","base","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.00868","0.0499","1","1"
"KAITO","indodax","kaitoidr","0x98d0baa52b2d063e780de12f615f963fe8537553","18","USDC","usdcidr","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","6","base","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","","","",""
"VVV","indodax","vvvidr","0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf","18","USDC","usdcidr","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","6","base","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","","","",""
"VVV","mexc","VVVUSDT","0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf","18","USDC","USDCUSDT","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","6","base","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.06","0.1","1","1"
"XEC","binance","XECUSDT","0x0ef2e7602add1733bfdb17ac3094d0421b502ca3","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","2717","0.01","1","1"
"SCRT","binance","SCRTUSDT","0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.24","0.01","1","1"
"ZRO","binance","ZROUSDT","0x6985884c4392d348587b19cb9eaaf157f13271cd","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0086","0.01","1","1"
