symbol_in,symbol_out,chain,sc_in,des_in,sc_out,des_out,status,CEX_BINANCE,CEX_GATE,CEX_MEXC,CEX_INDODAX,CEX_OKX,CEX_BITGET,DEX_KYBER,DEX_OKX,DEX_FLYTRADE,DEX_MATCHA,DEX_ODOS,DEX_VELORA,DEX_ONEINCH,DEX_OPENOCEAN,DEX_LIFIDEX,DEX_SUSHI,DEX_COWSWAP,DEX_NORDSTERN,DEX_JUPITER,DEX_SWOOP,DEX_RABBY,DEX_RAINBOW,DEX_BACKPACK,DEX_SWING,DEX_TALISMAN,DEX_ZAPPER,DEX_JUMPER,DEX_DZAP,DEX_RUBIC,DEX_RANGO,DEX_ROCKETX,DEX_METAX,DEX_ONEKEY,DEX_DEBRIDGE,DEX_OKUTRADE,DEX_CTRLFI,DEX_ZERION,DEX_FLY
"ALTLAYER","ETH","Ethereum","0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","250|200","250|200","250|200","250|200","250|200","250|200","","","250|200","","","","","","","","","","","","","","","","","250|200","250|200","","","","",""
"EFI","ETH","ethereum","0x656C00e1BcD96f256F224AD9112FF426Ef053733","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","100|90","120|100","150|200","50|40","170|150","150|200","","","50|40","","","","","","","","","","","","","","","","","120|100","120|100","","","","",""
"ENJ","ETH","ethereum","0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","250|200","250|200","150|120","150|120","250|200","250|200","","","250|200","","","","","","","","","","","","","","","","","250|200","250|200","","","","",""
"FANC","ETH","ethereum","0xbB126042235E6bD38B17744cb31a8bF4A206c045","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","80|70","70|60","100|150","50|40","100|150","50|50","","","50|50","","","","","","","","","","","","","","","","","70|50","70|50","","","","",""
"GLCH","ETH","Ethereum","0x038a68FF68c393373eC894015816e33Ad41BD564","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","250|250","250|250","250|250","250|250","250|250","250|250","","","250|250","","","","","","","","","","","","","","","","","250|250","250|250","","","","",""
"ORC","ETH","ethereum","0x662b67d00A13FAf93254714DD601F5Ed49Ef2F51","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","150|120","150|120","150|120","150|120","150|120","150|120","","","150|120","","","","","","","","","","","","","","","","","150|120","150|120","","","","",""
"POLY","ETH","ethereum","0x9992eC3cF6A55b00978cdDF2b27BC6882d88D1eC","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","150|120","250|200","250|200","100|70","250|200","250|200","","","100|70","","","","","","","","","","","","","","","","","250|200","250|200","","","","",""
"SFI","ETH","Ethereum","0xb753428af26E81097e7fD17f40c88aaA3E04902c","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","500|450","500|450","500|450","500|450","500|450","500|450","","","500|450","","","","","","","","","","","","","","","","","500|450","500|450","","","","",""
"SKYA","ETH","ethereum","0x623cD3a3EdF080057892aaF8D773Bbb7A5C9b6e9","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","300|300","300|300","300|300","300|300","300|300","300|300","","","300|300","","","","","","","","","","","","","","","","","300|300","300|300","","","","",""
"TEN","ETH","Ethereum","0xDD16eC0F66E54d453e6756713E533355989040E4","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","350|300","350|300","350|300","350|300","350|300","350|300","","","350|300","","","","","","","","","","","","","","","","","350|300","350|300","","","","",""
